vehicle_id,timestamp,segment_id,speed,lat,lon
V1,2018-10-24 08:30:00,SEG_01,38.16,37.984642,23.724906
V10,2018-10-24 08:30:00,SEG_01,27.64,37.984477,23.725837
V100,2018-10-24 08:30:00,SEG_02,0.0,37.990206,23.729333
V101,2018-10-24 08:30:00,SEG_02,0.0,37.991909,23.729905
V102,2018-10-24 08:30:00,SEG_02,0.0,37.991531,23.729948
V103,2018-10-24 08:30:00,SEG_02,0.0,37.991413,23.729849
V104,2018-10-24 08:30:00,SEG_03,0.0,37.992773,23.731436
V105,2018-10-24 08:30:00,SEG_02,0.0,37.99296,23.730074
V106,2018-10-24 08:30:00,SEG_03,41.3,37.992614,23.73148
V107,2018-10-24 08:30:00,SEG_02,12.4,37.99161,23.729176
V108,2018-10-24 08:30:00,SEG_02,7.81,37.991593,23.729292
V109,2018-10-24 08:30:00,SEG_02,24.52,37.991638,23.729208
V11,2018-10-24 08:30:00,SEG_01,27.37,37.984468,23.725954
V110,2018-10-24 08:30:00,SEG_02,16.51,37.991575,23.729422
V111,2018-10-24 08:30:00,SEG_02,31.0,37.991614,23.729365
V112,2018-10-24 08:30:00,SEG_03,5.87,37.991667,23.731203
V113,2018-10-24 08:30:00,SEG_03,0.0,37.985303,23.731213
V114,2018-10-24 08:30:00,SEG_02,18.48,37.985938,23.730793
V115,2018-10-24 08:30:00,SEG_02,0.0,37.985917,23.730238
V116,2018-10-24 08:30:00,SEG_03,29.19,37.984152,23.732222
V117,2018-10-24 08:30:00,SEG_03,28.39,37.984094,23.732314
V118,2018-10-24 08:30:00,SEG_03,0.0,37.984864,23.731987
V119,2018-10-24 08:30:00,SEG_03,25.54,37.984311,23.732135
V12,2018-10-24 08:30:00,SEG_01,31.51,37.984438,23.725975
V120,2018-10-24 08:30:00,SEG_02,21.72,37.991551,23.729523
V121,2018-10-24 08:30:00,SEG_02,23.82,37.99153,23.729688
V122,2018-10-24 08:30:00,SEG_03,0.0,37.991213,23.731916
V123,2018-10-24 08:30:00,SEG_02,3.83,37.989091,23.730046
V124,2018-10-24 08:30:00,SEG_02,2.32,37.989112,23.730031
V125,2018-10-24 08:30:00,SEG_02,22.87,37.989363,23.730415
V126,2018-10-24 08:30:00,SEG_02,9.12,37.989997,23.730578
V127,2018-10-24 08:30:00,SEG_02,15.98,37.990071,23.730009
V128,2018-10-24 08:30:00,SEG_02,12.58,37.990046,23.730362
