vehicle_id,timestamp,segment_id,speed,lat,lon
V1,2018-10-29 09:30:00,SEG_01,11.13,37.984184,23.727432
V1,2018-10-29 09:30:01,SEG_01,12.83,37.984182,23.727396
V2,2018-10-29 09:30:00,SEG_01,12.13,37.984206,23.727506
V2,2018-10-29 09:30:01,SEG_01,12.84,37.984201,23.727468
V2,2018-10-29 09:30:02,SEG_01,13.77,37.984196,23.727426
V2,2018-10-29 09:30:03,SEG_01,13.99,37.984193,23.727382
V3,2018-10-29 09:30:00,SEG_01,13.79,37.984184,23.727529
V3,2018-10-29 09:30:01,SEG_01,14.22,37.984174,23.727487
V3,2018-10-29 09:30:02,SEG_01,14.08,37.984169,23.727442
V3,2018-10-29 09:30:03,SEG_01,13.38,37.984168,23.727399
V3,2018-10-29 09:30:04,SEG_01,13.26,37.984171,23.727357
V4,2018-10-29 09:30:00,SEG_01,17.75,37.984256,23.727628
V4,2018-10-29 09:30:01,SEG_01,17.28,37.984235,23.727579
V4,2018-10-29 09:30:02,SEG_01,15.29,37.984218,23.727531
V4,2018-10-29 09:30:03,SEG_01,12.66,37.984206,23.72749
V4,2018-10-29 09:30:04,SEG_01,11.69,37.984199,23.727454
V4,2018-10-29 09:30:05,SEG_01,12.83,37.984196,23.727416
V4,2018-10-29 09:30:06,SEG_01,13.82,37.984194,23.727373
V5,2018-10-29 09:30:00,SEG_01,15.92,37.984231,23.727655
V5,2018-10-29 09:30:01,SEG_01,16.78,37.984212,23.727611
V5,2018-10-29 09:30:02,SEG_01,16.24,37.984191,23.727563
V5,2018-10-29 09:30:03,SEG_01,13.2,37.98418,23.727519
V5,2018-10-29 09:30:04,SEG_01,12.54,37.984174,23.727481
V5,2018-10-29 09:30:05,SEG_01,13.42,37.98417,23.727439
V5,2018-10-29 09:30:06,SEG_01,14.22,37.984166,23.727397
V6,2018-10-29 09:30:00,SEG_01,20.47,37.984284,23.727741
V6,2018-10-29 09:30:01,SEG_01,18.8,37.984253,23.72769
V6,2018-10-29 09:30:02,SEG_01,17.63,37.984228,23.727645
V6,2018-10-29 09:30:03,SEG_01,16.76,37.984204,23.727598
V6,2018-10-29 09:30:04,SEG_01,14.9,37.984186,23.727554
V6,2018-10-29 09:30:05,SEG_01,12.91,37.984176,23.727511
V6,2018-10-29 09:30:06,SEG_01,14.22,37.984167,23.727474
V6,2018-10-29 09:30:07,SEG_01,14.39,37.984159,23.727424
V6,2018-10-29 09:30:08,SEG_01,15.14,37.984159,23.727384
V7,2018-10-29 09:30:00,SEG_01,25.1,37.984293,23.727726
V7,2018-10-29 09:30:01,SEG_01,27.16,37.984264,23.727654
V7,2018-10-29 09:30:02,SEG_01,31.13,37.984244,23.727565
V7,2018-10-29 09:30:03,SEG_01,36.45,37.984227,23.727462
V8,2018-10-29 09:30:00,SEG_01,24.42,37.984249,23.727648
V8,2018-10-29 09:30:01,SEG_01,24.69,37.984219,23.727581
V8,2018-10-29 09:30:02,SEG_01,22.74,37.984196,23.727509
V8,2018-10-29 09:30:03,SEG_01,18.64,37.98419,23.727444
V8,2018-10-29 09:30:04,SEG_01,19.5,37.984187,23.727388
V9,2018-10-29 09:30:00,SEG_01,16.73,37.984316,23.727738
V9,2018-10-29 09:30:01,SEG_01,17.37,37.984293,23.727694
V9,2018-10-29 09:30:02,SEG_01,17.58,37.984267,23.727647
V9,2018-10-29 09:30:03,SEG_01,16.47,37.984244,23.727602
V9,2018-10-29 09:30:04,SEG_01,14.46,37.984226,23.727558
V9,2018-10-29 09:30:05,SEG_01,14.01,37.984214,23.727518
V9,2018-10-29 09:30:06,SEG_01,15.21,37.984205,23.727473
V9,2018-10-29 09:30:07,SEG_01,16.27,37.984198,23.727424
V10,2018-10-29 09:30:00,SEG_01,18.34,37.984341,23.727885
V10,2018-10-29 09:30:01,SEG_01,19.35,37.984323,23.727831
V10,2018-10-29 09:30:02,SEG_01,22.09,37.984302,23.727772
V10,2018-10-29 09:30:03,SEG_01,21.66,37.984271,23.72771
V10,2018-10-29 09:30:04,SEG_01,19.61,37.984243,23.727658
V10,2018-10-29 09:30:05,SEG_01,17.9,37.984219,23.727605
V10,2018-10-29 09:30:06,SEG_01,15.7,37.984202,23.727558
V10,2018-10-29 09:30:07,SEG_01,15.43,37.984188,23.727512
V10,2018-10-29 09:30:08,SEG_01,16.26,37.984178,23.727465
V10,2018-10-29 09:30:09,SEG_01,17.31,37.984179,23.727411
V11,2018-10-29 09:30:00,SEG_01,13.18,37.984377,23.727971
V11,2018-10-29 09:30:01,SEG_01,14.13,37.984374,23.727929
V11,2018-10-29 09:30:02,SEG_01,15.23,37.984367,23.727882
V11,2018-10-29 09:30:03,SEG_01,15.77,37.984355,23.727836
V11,2018-10-29 09:30:04,SEG_01,17.35,37.984339,23.727789
V11,2018-10-29 09:30:05,SEG_01,18.53,37.984317,23.727738
V11,2018-10-29 09:30:06,SEG_01,16.96,37.98429,23.727692
V11,2018-10-29 09:30:07,SEG_01,14.48,37.984268,23.727652
V11,2018-10-29 09:30:08,SEG_01,13.16,37.98425,23.727614
V11,2018-10-29 09:30:09,SEG_01,13.5,37.984234,23.727579
V11,2018-10-29 09:30:10,SEG_01,14.03,37.984221,23.727537
V11,2018-10-29 09:30:11,SEG_01,14.42,37.984212,23.727495
V11,2018-10-29 09:30:12,SEG_01,15.25,37.984204,23.727449
V11,2018-10-29 09:30:13,SEG_01,14.91,37.984201,23.7274
V12,2018-10-29 09:30:00,SEG_01,17.14,37.984351,23.727991
V12,2018-10-29 09:30:01,SEG_01,18.26,37.984346,23.727937
V12,2018-10-29 09:30:02,SEG_01,19.07,37.984334,23.727879
V12,2018-10-29 09:30:03,SEG_01,19.03,37.98432,23.727822
V12,2018-10-29 09:30:04,SEG_01,18.4,37.984298,23.727768
V12,2018-10-29 09:30:05,SEG_01,17.85,37.984275,23.727721
V12,2018-10-29 09:30:06,SEG_01,17.66,37.984245,23.727678
